№корня;Корень;наименование;наименование;наименование
2;Бытовая химия;Специальные чистящие средства;Средства для ухода за кожаными изделиями;Губки для гладкой кожи 
2;Бытовая химия;Специальные чистящие средства;Средства для ухода за кожаными изделиями;Губки для замши и нубука
2;Бытовая химия;Специальные чистящие средства;Средства для ухода за кожаными изделиями;Воск и жир для ухода за обувью
2;Бытовая химия;Специальные чистящие средства;Средства для ухода за кожаными изделиями;Дезодоранты  и растяжки для обуви
2;Бытовая химия;Специальные чистящие средства;Средства для ухода за кожаными изделиями;Кремы, гуталины в баночках
2;Бытовая химия;Специальные чистящие средства;Средства для ухода за кожаными изделиями;Кремы, гуталины в тубах, в тубах с аппликатором
2;Бытовая химия;Специальные чистящие средства;Средства для ухода за кожаными изделиями;Резинки и щетки для сухой чистки кожанных изделий
2;Бытовая химия;Специальные чистящие средства;Средства для ухода за кожаными изделиями;Спреи, аэрозоли для ухода за гладкой кожей
2;Бытовая химия;Специальные чистящие средства;Средства для ухода за кожаными изделиями;Спреи, аэрозоли для ухода за нубуком, замшей, велюром
2;Бытовая химия;Специальные чистящие средства;Средства ухода за мебелью, коврами  и полами;Средства ухода за деревянной мебелью, полироли
2;Бытовая химия;Специальные чистящие средства;Средства ухода за мебелью, коврами  и полами;Средства ухода за ковровыми изделиями  и мягкой мебелью
2;Бытовая химия;Специальные чистящие средства;Средства ухода за мебелью, коврами  и полами;Средства ухода за  пластиковыми поверхностями
2;Бытовая химия;Специальные чистящие средства;Средства ухода за мебелью, коврами  и полами;Чистящие средства для полов
2;Бытовая химия;Специальные чистящие средства;Средства для очистки и мытья стекла;Аэрозоли, спреи, жидкости
2;Бытовая химия;Специальные чистящие средства;Чистка кухни, металла  и накипи;Чистящие средства для уборки кухни
2;Бытовая химия;Специальные чистящие средства;Чистка кухни, металла  и накипи;Чистящие средства по уходу за металлическими поверхностями 
2;Бытовая химия;Специальные чистящие средства;Чистка кухни, металла  и накипи;Средства для удаления накипи - очистители
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Губки для мытья посуды с абразивом
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Губки для мытья посуды с эластомером 
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Мочалки пластиковые для мытья посуды
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Мочалки металлические для мытья посуды
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Салфетки губчатые и не тканные
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Салфетки тканные
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Салфетки с пропиткой  
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Тряпки д/пола
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Перчатки хозяйств.назначен.(резиновые,латексн.)
2;Бытовая химия;Специальные чистящие средства;Принадлежности для влажной уборки;Щетки, ершики д/посуды
2;Бытовая химия;Специальные чистящие средства;Чистящие средства для сантехники;Блоки, таблетки для туалетов, сменные блоки
2;Бытовая химия;Специальные чистящие средства;Чистящие средства для сантехники;Средства для уборки туалета и ванных комнат
2;Бытовая химия;Специальные чистящие средства;Чистящие средства для сантехники;Чистящие средства для сливных труб
2;Бытовая химия;Специальные чистящие средства;Чистящие средства для сантехники;Средства от налета и  ржавчины
2;Бытовая химия;Специальные чистящие средства;Освежители воздуха;Аэрозоли и спреи.
2;Бытовая химия;Специальные чистящие средства;Освежители воздуха;Гелиевые освежители, свечи, подвески
2;Бытовая химия;Специальные чистящие средства;Освежители воздуха;Картриджи, сменные блоки
2;Бытовая химия;Специальные чистящие средства;Освежители воздуха;Электрические освежители 
2;Бытовая химия;Специальные чистящие средства;Репелленты и инсектициды;Бокс , приманки для защиты от грызунов
2;Бытовая химия;Специальные чистящие средства;Репелленты и инсектициды;Ловушки, приманки, карандаши для защиты от насекомых 
2;Бытовая химия;Специальные чистящие средства;Репелленты и инсектициды;Электрические приборы и расходные материалы к ним  
2;Бытовая химия;Специальные чистящие средства;Репелленты и инсектициды;Полоски-наклейки,  аэрозоли, спирали и свечи для защиты от насекомых
2;Бытовая химия;Специальные чистящие средства;Репелленты и инсектициды;Кремы, лосьоны, гели для тела  для защиты от насекомых  
2;Бытовая химия;Специальные чистящие средства;Репелленты и инсектициды;Спреи, аэрозоли для тела для защиты от насекомых 
2;Бытовая химия;Специальные чистящие средства;Репелленты и инсектициды;Детские средства для защиты от насекомых 
2;Бытовая химия;Специальные чистящие средства;Репелленты и инсектициды;Средства после укусов насекомых 
2;Бытовая химия;Моющие чистящие средства;Мыло;Хозяйственное мыло
2;Бытовая химия;Моющие чистящие средства;Мыло;Детское мыло для стирки
2;Бытовая химия;Моющие чистящие средства;Вспомогательные средства для стирки и чистки тканей;Усиливатели и подсиниватели
2;Бытовая химия;Моющие чистящие средства;Вспомогательные средства для стирки и чистки тканей;Аэрозольные антистатики
2;Бытовая химия;Моющие чистящие средства;Вспомогательные средства для стирки и чистки тканей;Подкрахмаливатели, средства для глажки
2;Бытовая химия;Моющие чистящие средства;Вспомогательные средства для стирки и чистки тканей;Пятновыводители, сухая чистка
2;Бытовая химия;Моющие чистящие средства;Вспомогательные средства для стирки и чистки тканей;Отбеливатели, пятновыводители д/стирки
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для ручной стирки  до 0,5 кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для ручной стирки  до 1 кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для ручной стирки  от1,1кг до 3кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для ручной стирки от3,1кг до 6кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для ручной стирки  более 6,1кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для автоматич. стирки   до 0,5кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для автоматич. стирки до 1кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для автоматич. стирки от1,1кг до 3кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для автоматич. стирки от 3,1кг до 6кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для автоматич. стирки более 6,1кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для стирки тюля, деликатных тканей,шерсти до 0,5кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для стирки тюля,деликатных тканей,шерсти до 1кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для стирки тюля,деликатных тканей,шерсти более1 кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Концентрированные стиральные порошки 
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для  стирки  в таблетках/капсулах
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Средства для стирки жидкости  и гели
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Детские стиральные порошки до 0,5 кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Детские стиральные порошки до 1кг
2;Бытовая химия;Моющие чистящие средства;Средства для стирки и чистки тканей;Детские стиральные порошки более 1 кг
2;Бытовая химия;Моющие чистящие средства;Смягчители;Кондиционеры,ополаскив.,смягчители д/белья  и жидк.антистат.до1л
2;Бытовая химия;Моющие чистящие средства;Смягчители;Кондиционеры,ополаскив.,смягчители д/белья и жидк.антистат.более1л
2;Бытовая химия;Моющие чистящие средства;Смягчители;Кондицион.,ополаск.,смягчит.д/белья и жидк.антистат.концентр.до 1л
2;Бытовая химия;Моющие чистящие средства;Смягчители;Кондицион.,ополаск.,смягчит.д/белья и жидк.антистат.концентр.более 1л
2;Бытовая химия;Моющие чистящие средства;Смягчители;Средства для смягчения воды и удаления накипи 
2;Бытовая химия;Моющие чистящие средства;Средства для мытья посуды в ручную;Жидкости, гели до 0,5 л
2;Бытовая химия;Моющие чистящие средства;Средства для мытья посуды в ручную;Жидкости, гели до 1л
2;Бытовая химия;Моющие чистящие средства;Средства для мытья посуды в ручную;Крема, пасты до 0,5 кг
2;Бытовая химия;Моющие чистящие средства;Средства для мытья посуды в ручную;Крема, пасты до 1 кг
2;Бытовая химия;Моющие чистящие средства;Средства для мытья посуды в посудомоечных машинах;Ополаскиватель для посудомоечных машин
2;Бытовая химия;Моющие чистящие средства;Средства для мытья посуды в посудомоечных машинах;Основное средство для посудомоечных машин
2;Бытовая химия;Моющие чистящие средства;Средства для мытья посуды в посудомоечных машинах;Соль для посудомоечных машин
2;Бытовая химия;Моющие чистящие средства;Средства для мытья посуды в посудомоечных машинах;Таблетки для посудомоечных машин
2;Бытовая химия;Моющие чистящие средства;Универсальные чистящие моющие средства общего назначения;Порошки
2;Бытовая химия;Моющие чистящие средства;Универсальные чистящие моющие средства общего назначения;Чистящие жидкости,гели
2;Бытовая химия;Моющие чистящие средства;Универсальные чистящие моющие средства общего назначения;Чистящие пасты, крема
