№корня;Корень;наименование;наименование;наименование;наименование
3;Красота и здоровье;Косметика;Косметика детская, подростковая;Средства по уходу за телом и волосами;Крема, лосьоны по уходу за телом детские
3;Красота и здоровье;Косметика;Косметика детская, подростковая;Средства по уходу за телом и волосами;Мыло туалетное детское
3;Красота и здоровье;Косметика;Косметика детская, подростковая;Средства по уходу за телом и волосами;Средства для душа, ванны детские
3;Красота и здоровье;Косметика;Косметика детская, подростковая;Средства по уходу за телом и волосами;Шампуни и средства для волос детские
3;Красота и здоровье;Косметика;Косметика детская, подростковая;Товары гигиены полости рта детские;Зубные пасты детские
3;Красота и здоровье;Косметика;Косметика детская, подростковая;Товары гигиены полости рта детские;Зубные щетки и ополаскиватели детские
3;Красота и здоровье;Косметика;Косметика детская, подростковая;Парфюмерия и косметика детская;Дезодоранты детские
3;Красота и здоровье;Косметика;Косметика детская, подростковая;Парфюмерия и косметика детская;Парфюмерия детская
3;Красота и здоровье;Косметика;Косметика детская, подростковая;Парфюмерия и косметика детская;Косметика декоративная детская
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для молодой/проблемной кожи;Средства для умывания ежедневные д/пробл.кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для молодой/проблемной кожи;Скрабы усиленного действия д/пробл.кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для молодой/проблемной кожи;Средства для очищения кожи без умывания д/пробл.кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для молодой/проблемной кожи;Тоники д/пробл.кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для молодой/проблемной кожи;Крема д/пробл.кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для молодой/проблемной кожи;Специальные средства против прыщей
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для молодой/проблемной кожи;Маски д/пробл.кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для зрелой кожи;Средства для умывания ежедневные д/зрелой кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для зрелой кожи;Скрабы усиленного действия д/зрелой кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для зрелой кожи;Средства для очищения кожи без умывания д/зрелой кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для зрелой кожи;Влажные салфетки для очищения кожи д/зрелой кожи
3;Красота и здоровье;Косметика;Средства по уходу за лицом;Средства для зрелой кожи;Тоники д/зрелой кожи
