№корня;Корень;Наименование корня;Наименование
4;Медицина и фармацефтика;Медицина;Медицинская техника
4;Медицина и фармацефтика;Медицина;Оборудование для скорой помощи
4;Медицина и фармацефтика;Медицина;Кабинеты медицинские
4;Медицина и фармацефтика;Медицина;Анестезиология, реанимация
4;Медицина и фармацефтика;Медицина;Акушерство, гинекология, 
4;Медицина и фармацефтика;Медицина;Функциональная диагностика
4;Медицина и фармацефтика;Медицина;Маммография, рентгендиагностика, томография
4;Медицина и фармацефтика;Медицина;Ультразвуковое оборудование
4;Медицина и фармацефтика;Медицина;Эндоскопическое оборудование
4;Медицина и фармацефтика;Медицина;Лабораторное оборудование
4;Медицина и фармацефтика;Медицина;Оборудование чистых помещений
4;Медицина и фармацефтика;Медицина;Аппаратные расходные материалы
4;Медицина и фармацефтика;Медицина;Косметологическое оборудование
4;Медицина и фармацефтика;Медицина;Электронные компоненты
4;Медицина и фармацефтика;Медицина;Пластмассовые изделия
4;Медицина и фармацефтика;Медицина;Программный комплекс ОРДЕР
4;Медицина и фармацефтика;Медицина;Защита от электромагнитных излучений
4;Медицина и фармацефтика;Фармацефтика;Сердечно-сосудистые
4;Медицина и фармацефтика;Фармацефтика;Психотропные
4;Медицина и фармацефтика;Фармацефтика;Противомикробные
4;Медицина и фармацефтика;Фармацефтика;Витаминные
4;Медицина и фармацефтика;Фармацефтика;Анальгетики
4;Медицина и фармацефтика;Фармацефтика;Гормональные
4;Медицина и фармацефтика;Фармацефтика;Прочие
