№корня;Корень;Наименование корня;Категория;подкатегория;подкатегория;наименование
5;Одежда и обувь;Одежда;Платья;;;
5;Одежда и обувь;Одежда;Футболки и топы;;;
5;Одежда и обувь;Одежда;Брюки и шорты;;;
5;Одежда и обувь;Одежда;Блузки и рубашки;;;
5;Одежда и обувь;Одежда;Джемперы и кардиганы;;;
5;Одежда и обувь;Одежда;Водолазки;;;
5;Одежда и обувь;Одежда;Лонгсливы;;;
5;Одежда и обувь;Одежда;Юбки;;;
5;Одежда и обувь;Одежда;Верхняя одежда;;;
5;Одежда и обувь;Одежда;Джинсы;;;
5;Одежда и обувь;Одежда;Пиджаки и жакеты;;;
5;Одежда и обувь;Одежда;Одежда для дома;;;
5;Одежда и обувь;Одежда;Туники;;;
5;Одежда и обувь;Одежда;Комбинезоны;;;
5;Одежда и обувь;Одежда;Кигуруми;;;
5;Одежда и обувь;Одежда;Костюмы;;;
5;Одежда и обувь;Одежда;Жилеты;;;
5;Одежда и обувь;Одежда;Мантии;;;
5;Одежда и обувь;Одежда;Толстовки;;;
5;Одежда и обувь;Одежда;Худи;;;
5;Одежда и обувь;Одежда;Свитшоты;;;
5;Одежда и обувь;Одежда;Карнавальные костюмы;;;
5;Одежда и обувь;Одежда;Белье;Мужское белье, домашняя одежда;Белье мужское;Трусы мужские
5;Одежда и обувь;Одежда;Белье;Мужское белье, домашняя одежда;Белье мужское;Майки, фуфайки бельевые мужские
5;Одежда и обувь;Одежда;Белье;Мужское белье, домашняя одежда;Белье мужское;Кальсоны
5;Одежда и обувь;Одежда;Белье;Мужское белье, домашняя одежда;Белье мужское;Плавки мужские
5;Одежда и обувь;Одежда;Белье;Мужское белье, домашняя одежда;Домашняя одежда мужская;Тельняшки, футболки камуфляжные
5;Одежда и обувь;Одежда;Белье;Мужское белье, домашняя одежда;Домашняя одежда мужская;Пижамы, комплекты домашние мужские
5;Одежда и обувь;Одежда;Белье;Мужские носки;Носки мужские;Носки мужские
5;Одежда и обувь;Одежда;Белье;Мужские носки;Носки мужские;Носки мужские спортивные
5;Одежда и обувь;Одежда;Белье;Женское белье, домашняя одежда;Белье женское;Трусы женские
5;Одежда и обувь;Одежда;Белье;Женское белье, домашняя одежда;Белье женское;Белье корректирующее женское
5;Одежда и обувь;Одежда;Белье;Женское белье, домашняя одежда;Белье женское;Белье корсетное (бюстгалтеры,трусы)
5;Одежда и обувь;Одежда;Белье;Женское белье, домашняя одежда;Белье женское;Купальники, парео
5;Одежда и обувь;Одежда;Белье;Женское белье, домашняя одежда;Домашняя одежда женская;Майки, топы бельевые
5;Одежда и обувь;Одежда;Белье;Женское белье, домашняя одежда;Домашняя одежда женская;Пижамы для сна женские
5;Одежда и обувь;Одежда;Белье;Женское белье, домашняя одежда;Домашняя одежда женская;Сорочки ночные женские
5;Одежда и обувь;Одежда;Белье;Женское белье, домашняя одежда;Домашняя одежда женская;Коплекты, халаты домашние женские
5;Одежда и обувь;Одежда;Белье;Женские колготки, чулки, носки;Носки, гольфы;Носки женские хлопок
5;Одежда и обувь;Одежда;Белье;Женские колготки, чулки, носки;Носки, гольфы;Носки, гольфы тонкие
5;Одежда и обувь;Одежда;Белье;Женские колготки, чулки, носки;Носки, гольфы;Носки спортивные женские
5;Одежда и обувь;Одежда;Белье;Женские колготки, чулки, носки;Колготки, чулки;Колготки плотность 10 den - 40 den
5;Одежда и обувь;Одежда;Белье;Женские колготки, чулки, носки;Колготки, чулки;Колготки, леггинсы  плотность 50 den - 300 den
5;Одежда и обувь;Одежда;Белье;Женские колготки, чулки, носки;Колготки, чулки;Чулки
5;Одежда и обувь;Обувь;Каталог мужской обуви:;;;
5;Одежда и обувь;Обувь;*Классическая;;;
5;Одежда и обувь;Обувь;*Повседневная;;;
5;Одежда и обувь;Обувь;*Для активного отдыха;;;
5;Одежда и обувь;Обувь;Каталог женской обуви:;;;
5;Одежда и обувь;Обувь;*Классическая;;;
5;Одежда и обувь;Обувь;*Повседневная;;;
5;Одежда и обувь;Обувь;*Для активного отдыха;;;
5;Одежда и обувь;Обувь;Каталог детской обуви:;;;
5;Одежда и обувь;Обувь;*Мальчикам;;;
5;Одежда и обувь;Обувь;*Девочкам;;;
5;Одежда и обувь;Обувь;*Малышам;;;
