№корня;Корень;Категория;Подкатегория;наименование
6;Зоотовары;Корм и витамины для кошек;Корм для кошек сухой;Корм сухой для котят
6;Зоотовары;Корм и витамины для кошек;Корм для кошек сухой;Корм сухой для кошек
6;Зоотовары;Корм и витамины для кошек;Корм для кошек сухой;Корм сухой для стареющих кошек
6;Зоотовары;Корм и витамины для кошек;Корм для кошек сухой;Весовой корм сухой для котят
6;Зоотовары;Корм и витамины для кошек;Корм для кошек сухой;Весовой корм сухой для кошек
6;Зоотовары;Корм и витамины для кошек;Корм для кошек сухой;Весовой корм сухой для стареющих кошек
6;Зоотовары;Корм и витамины для кошек;Корм для кошек консервиров;Корм консерв для котят
6;Зоотовары;Корм и витамины для кошек;Корм для кошек консервиров;Корм консервир для кошек
6;Зоотовары;Корм и витамины для кошек;Корм для кошек консервиров;Корм консервир для стареющих кошек
6;Зоотовары;Корм и витамины для кошек;Порционные корма д/кошек (пауч);Порц консерв корм для котят
6;Зоотовары;Корм и витамины для кошек;Порционные корма д/кошек (пауч);Порц консерв корм для кошек
6;Зоотовары;Корм и витамины для кошек;Порционные корма д/кошек (пауч);Порц консерв корм для стареющих кошек
6;Зоотовары;Корм и витамины для кошек;Витамины, лакомства для кошек;Витамины для кошек
6;Зоотовары;Корм и витамины для кошек;Витамины, лакомства для кошек;Лакомства для кошек
6;Зоотовары;Корм и витамины для кошек;Витамины, лакомства для кошек;Витамины для котят
6;Зоотовары;Корм и витамины для кошек;Витамины, лакомства для кошек;Лакомства для котят
6;Зоотовары;Товары для кошек;Места, лежаки для кошек;Домики для кошек
6;Зоотовары;Товары для кошек;Места, лежаки для кошек;Игровой комплекс для кошек
6;Зоотовары;Товары для кошек;Места, лежаки для кошек;Лежаки для кошек
6;Зоотовары;Товары для кошек;Места, лежаки для кошек;Когтеточки
6;Зоотовары;Товары для кошек;Средства по уходу за зубами, ушами, глазами кошек;Средства по уходу за зубами
6;Зоотовары;Товары для кошек;Средства по уходу за зубами, ушами, глазами кошек;Средства по уходу  за глазами, ушами
6;Зоотовары;Товары для кошек;Средства и предметы  по уходу за кожей, шерстью и когтями кошек;Когтерезки
6;Зоотовары;Товары для кошек;Средства и предметы  по уходу за кожей, шерстью и когтями кошек;Антицарапки
6;Зоотовары;Товары для кошек;Средства и предметы  по уходу за кожей, шерстью и когтями кошек;Машинки для стрижки
