№корня;Корень;Наименование;;;
9;Спорт и отдых;Тренажеры;;;
9;Спорт и отдых;Гантели, утяжелители;;;
9;Спорт и отдых;Оборудование и аксессуары для фитнеса;;;
9;Спорт и отдых;Спортивный инвентарь;;;
9;Спорт и отдых;Велосипеды;;;
9;Спорт и отдых;Самокаты;;;
9;Спорт и отдых;Ролики;;; 
9;Спорт и отдых;Баскетбол, волейбол;;;
9;Спорт и отдых;Плавание;;;
9;Спорт и отдых;Санки, ледянки;;;
9;Спорт и отдых;Сноуборд;;;
9;Спорт и отдых;Теннис, бадминтон;;;
9;Спорт и отдых;Футбол;;;
9;Спорт и отдых;Хоккей;;;
9;Спорт и отдых;Туристические принадлежности и отдых на природе;;;
9;Спорт и отдых;Складная мебель;;;
9;Спорт и отдых;Бассейны;;;
9;Спорт и отдых;Биотуалеты;;;
9;Спорт и отдых;Все для рыбалки;;;
9;Спорт и отдых;Грили и барбекю;;;
9;Спорт и отдых;Зонты;;;
9;Спорт и отдых;Качели;;;
9;Спорт и отдых;Наборы для пикника;;;
9;Спорт и отдых;Павильоны и шатры;;;
9;Спорт и отдых;Палатки, спальники, коврики;;;
9;Спорт и отдых;Средства от насекомых;;;
9;Спорт и отдых;Термосы и сумки-холодильники;;;
9;Спорт и отдых;Чемоданы;;;
