№корня;Корень;Наименование корня;Категория
10;Досуг и развлечения;Досуг;Кино
10;Досуг и развлечения;Досуг;Спектакли
10;Досуг и развлечения;Досуг;Ночные клубы
10;Досуг и развлечения;Досуг;Рестораны
10;Досуг и развлечения;Досуг;Аквапарки
10;Досуг и развлечения;Досуг;Баня и сауна
10;Досуг и развлечения;Досуг;Отели
10;Досуг и развлечения;Досуг;Хостэлы
10;Досуг и развлечения;Где развлечься;Квесты
10;Досуг и развлечения;Где развлечься;Игры
10;Досуг и развлечения;Где развлечься;Юмор
10;Досуг и развлечения;Где развлечься;Знакомства
10;Досуг и развлечения;Где развлечься;Социальные сети
10;Досуг и развлечения;Где развлечься;Психологические тесты
10;Досуг и развлечения;Где развлечься;Развлекательные издания
10;Досуг и развлечения;Где развлечься;Эротика
10;Досуг и развлечения;Где развлечься;Непознанное
10;Досуг и развлечения;Где развлечься;Видеохостинги
10;Досуг и развлечения;Где развлечься;Универсальное
10;Досуг и развлечения;Где развлечься;Прочее
