№корня;Корень;Наименование;Наименвание
11;Сувениры и подарки;Профессиональные;Авиация
11;Сувениры и подарки;Профессиональные;Железнодорожный транспорт
11;Сувениры и подарки;Профессиональные;Морская коллекция
11;Сувениры и подарки;Профессиональные;Правоохранительные органы
11;Сувениры и подарки;Профессиональные;Спорт
11;Сувениры и подарки;Профессиональные;Банки и финансы
11;Сувениры и подарки;Профессиональные;Космос
11;Сувениры и подарки;Профессиональные;Недвижимость и строительство
11;Сувениры и подарки;Профессиональные;Промышленность
11;Сувениры и подарки;Профессиональные;Энергетика
11;Сувениры и подарки;Профессиональные;День зашиты детей /1 сентября
11;Сувениры и подарки;Профессиональные;Медицина
11;Сувениры и подарки;Профессиональные;Нефть и газ
11;Сувениры и подарки;Профессиональные;Связь и интернет
11;Сувениры и подарки;Профессиональные;Юриспруденция
11;Сувениры и подарки;Тематические;Новый год
11;Сувениры и подарки;Тематические;9 Мая
11;Сувениры и подарки;Тематические;1 мая
11;Сувениры и подарки;Тематические;День матери
11;Сувениры и подарки;Тематические;День зашиты детей 
11;Сувениры и подарки;Тематические;День города
11;Сувениры и подарки;Тематические;8 марта
11;Сувениры и подарки;Тематические;23 февраля
11;Сувениры и подарки;Тематические;Деь святого Валентина
11;Сувениры и подарки;Тематические;День России
11;Сувениры и подарки;Для награждения;Кубки
11;Сувениры и подарки;Для награждения;Медали
11;Сувениры и подарки;Для награждения;Значки
11;Сувениры и подарки;Для награждения;Награды
11;Сувениры и подарки;Для награждения;Грамоты
