№корня;Корень;Наименование;Наимевание
13;Бытовая техника;Техника для дома;Стиральные и сушильные машины 
13;Бытовая техника;Техника для дома;Стиральные машины
13;Бытовая техника;Техника для дома;Стиральные машины с двумя барабанами
13;Бытовая техника;Техника для дома;Сушильные машины
13;Бытовая техника;Техника для дома;Встраиваемые стиральные машины
13;Бытовая техника;Техника для дома;Стиральные машины Samsung AddWash
13;Бытовая техника;Техника для дома;Техника для уборки 
13;Бытовая техника;Техника для дома;Пылесосы
13;Бытовая техника;Техника для дома;Вертикальные пылесосы
13;Бытовая техника;Техника для дома;Роботы-пылесосы
13;Бытовая техника;Техника для дома;Моющие пылесосы
13;Бытовая техника;Техника для дома;Пароочистители
13;Бытовая техника;Техника для дома;Стеклоочистители
13;Бытовая техника;Техника для дома;Утюги и гладильные принадлежности 
13;Бытовая техника;Техника для дома;Утюги
13;Бытовая техника;Техника для дома;Утюги с парогенератором
13;Бытовая техника;Техника для дома;Отпариватели
13;Бытовая техника;Техника для дома;Гладильные доски
13;Бытовая техника;Техника для дома;Сушилки для белья
13;Бытовая техника;Техника для дома;Аксессуары для утюгов
13;Бытовая техника;Техника для дома;Утюги и гладильные принадлежности Philips
13;Бытовая техника;Техника для дома;Швейная техника 
13;Бытовая техника;Техника для дома;Швейные машины
13;Бытовая техника;Техника для дома;Оверлоки, коверлоки и распошивальные машины
13;Бытовая техника;Техника для дома;Уход за вещами 
13;Бытовая техника;Техника для дома;Обогревательные приборы 
13;Бытовая техника;Техника для дома;Электрические обогреватели
13;Бытовая техника;Техника для дома;Масляные обогреватели
13;Бытовая техника;Техника для дома;Тепловентиляторы
13;Бытовая техника;Техника для дома;Тепловые пушки
13;Бытовая техника;Техника для дома;Электрокамины
13;Бытовая техника;Техника для дома;Климатическая техника 
13;Бытовая техника;Техника для дома;Кондиционеры
13;Бытовая техника;Техника для дома;Вентиляторы
13;Бытовая техника;Техника для дома;Обогревательные приборы
13;Бытовая техника;Техника для дома;Воздухоочистители
