№корня;Корень;Наименование;Наименование
14;Дом сад и дача;Для Сада;Садовая техника 
14;Дом сад и дача;Для Сада;Все для полива 
14;Дом сад и дача;Для Сада;Защита от вредителей 
14;Дом сад и дача;Для Сада;Семена 
14;Дом сад и дача;Для Сада;Садовый декор 
14;Дом сад и дача;Для Сада;Биотуалеты и септики 
14;Дом сад и дача;Для Сада;Парники и теплицы 
14;Дом сад и дача;Для Сада;Грунт и удобрения 
14;Дом сад и дача;Для Сада;Ручной садовый инструмент 
14;Дом сад и дача;Для Сада;Аксессуары для сада и огорода 
14;Дом сад и дача;Для Дачи;Баня, сауна 
14;Дом сад и дача;Для Дачи;Товары для барбекю и пикника 
14;Дом сад и дача;Для Дачи;Бассейны и аксессуары 
14;Дом сад и дача;Для Дачи;Будки для собак 
14;Дом сад и дача;Для Дома;Мебель для отдыха 
14;Дом сад и дача;Для Дома;Домашнее цветоводство
14;Дом сад и дача;Для Дома;Текстиль с электроподогревом
14;Дом сад и дача;Для Дома;ДЕКОРЫ ДЛЯ ДОМА
