№корня;Корень;Наименование;;
15;Строительство и ремонт;Строительные материалы;;
15;Строительство и ремонт;Керамическая кафельная плитка;;
15;Строительство и ремонт;Ванная комната;;
15;Строительство и ремонт;Лакокрасочные материалы;;
15;Строительство и ремонт;Напольные покрытия;;
15;Строительство и ремонт;Товары для дома;;
15;Строительство и ремонт;Инструмент;;
15;Строительство и ремонт;Обои;;
15;Строительство и ремонт;Инженерная сантехника;;
15;Строительство и ремонт;Кухни и хранение;;
15;Строительство и ремонт;Интерьер;;
15;Строительство и ремонт;Посуда;;
15;Строительство и ремонт;Текстиль;;
15;Строительство и ремонт;Электротовары;;
15;Строительство и ремонт;Домофоны ;;
15;Строительство и ремонт;Кабель и провод ;;
15;Строительство и ремонт;Климатическое оборудование ;;
15;Строительство и ремонт;Низковольтное оборудование ;;
15;Строительство и ремонт;Ретро проводка ;;
15;Строительство и ремонт;Розетки и выключатели;;
15;Строительство и ремонт;Стабилизаторы напряжения ;;
15;Строительство и ремонт;Удлинители, разветвители, переходники ;;
15;Строительство и ремонт;Электрические теплые полы ;;
15;Строительство и ремонт;Электромонтажная продукция ;;
15;Строительство и ремонт;Электротехнические изделия ;;
15;Строительство и ремонт;Электроустановка ;;
15;Строительство и ремонт;Электротовары;;
15;Строительство и ремонт;Освещение;; 
15;Строительство и ремонт;Замочно-скобяные изделия и системы хранения;;
;Строительство и ремонт;Двери;;
