№корня;Корень;Наименование;Наименование;
16;Транспорт;Водный;Вёсельные лодки;
16;Транспорт;Водный;Гидроциклы;
16;Транспорт;Водный;Катера и яхты;
16;Транспорт;Водный;Каяки и каноэ; 
16;Транспорт;Водный;Моторные лодки;
16;Транспорт;Водный;Надувные лодки;
16;Транспорт;Воздушный транспорт;Aвиация;
16;Транспорт;Воздушный транспорт;Воздухоплавание;
16;Транспорт;Воздушный транспорт;Космический транспорт;
16;Транспорт;Наземный транспорт;Железнодорожный;
16;Транспорт;Наземный транспорт;Автомобильный;
16;Транспорт;Наземный транспорт;Велосипедный;
16;Транспорт;Наземный транспорт;Транспорт движимый животными;
16;Транспорт;Наземный транспорт;Гужевой;
16;Транспорт;Наземный транспорт;Вьючный;
16;Транспорт;Наземный транспорт;Bерховой;
16;Транспорт;Специальный транспорт;Трубопроводный;
16;Транспорт;Специальный транспорт;Пневматический;
16;Транспорт;Специальный транспорт;Лифтовой;
16;Транспорт;Специальный транспорт;Эскалатор;
16;Транспорт;Специальный транспорт;Элеватор;
16;Транспорт;Специальный транспорт;Фуникулёр;
16;Транспорт;Специальный транспорт;Канатная дорога;
