№корня;Корень;Наименование;Наименование;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;АГРЕГАТЫ ХОЛОДИЛЬНЫЕ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;ХОЛОДИЛЬНЫЕ КАМЕРЫ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;ДВЕРИ ХОЛОДИЛЬНЫЕ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;КОМПРЕССОРЫ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;АКСЕССУАРЫ ДЛЯ КАМЕР И ДВЕРЕЙ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;АКСЕССУАРЫ ДЛЯ КОМПРЕССОРОВ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;ЗАПЧАСТИ ДЛЯ КОМПРЕССОРОВ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;МОНОБЛОКИ И СПЛИТ-СИСТЕМЫ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;КОНДЕНСАТОРЫ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;ВОЗДУХООХЛАДИТЕЛИ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;ВЕНТИЛЯТОРЫ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;ТЕПЛООБМЕННИКИ;;;;;;;;;
17;Профессиональное оборудование;Холодильное оборудование;СОСУДЫ ВЫСОКОГО ДАВЛЕНИЯ;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Жарочные поверхности и лавовые грили;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Жарочные шкафы;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Кипятильники;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Коптильни;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Котлы пищеварочные;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Макароноварки;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Настольные тепловые витрины;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Пароварки;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Пароконвектоматы и конвекционные печи;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Печи для казана;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Печи мангалы;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Плиты;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Робата грили;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Сковороды;;;;;;;;;
17;Профессиональное оборудование;Тепловое оборудование;Термостаты;;;;;;;;;
17;Профессиональное оборудование;Посудомоечное оборудование;Посудомоечные машины конвеерного типа;;;;;;;;;
17;Профессиональное оборудование;Посудомоечное оборудование;Купольная посудомоечная машина;;;;;;;;;
17;Профессиональное оборудование;Посудомоечное оборудование;Посудомоечные машины с фронтальной загрузкой;; ;;;;;;;
17;Профессиональное оборудование;Посудомоечное оборудование;Стаканомоечные машины;;;;;;;;;
17;Профессиональное оборудование;Посудомоечное оборудование;Котломоечные машины;;;;;;;;;
17;Профессиональное оборудование;Посудомоечное оборудование;Столы для посудомоечных машин;;;;;;;;;
17;Профессиональное оборудование;Посудомоечное оборудование;Модули сушек к посудомоечным машинам;;;;;;;;;
17;Профессиональное оборудование;Посудомоечное оборудование;Аксессуары для моечного оборудования;;;;;;;;;
17;Профессиональное оборудование;Посудомоечное оборудование;Водоумягчители;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Машины для пасты;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Мясорубки;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Наполнители колбасок;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Овощерезки и протирки;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Пилы ленточные;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Планетарные миксеры;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Пресс для пиццы;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Прессы для гамбургеров;;;;;;;;; 
17;Профессиональное оборудование;Электромеханическое оборудование;Слайсеры и хлеборезки;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Сыротерки;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Оборудование для производства долмы;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Универсальная кухонная машина УКМ;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Транспортер для сбора грязной посуды;;;;;;;;;
17;Профессиональное оборудование;Электромеханическое оборудование;Ручные миксеры;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Миксеры для молочных коктейлей;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Сокоохладители;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Граниторы;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Блендеры;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Соковыжимательные машины;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Барные комбайны;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Измельчители для льда;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Льдогенераторы;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Аппараты для приготовления шоколада;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Кофемашины;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Кофемолки;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Аппараты Кофе на песке;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Витрины тепловые, холодильные;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Постмиксы, Диспенсеры;;;;;;;;;
17;Профессиональное оборудование;Барное оборудование;Винные шкафы;;;;;;;;;
17;Профессиональное оборудование;Торговое оборудование;Стеллажи, шкафы;;;;;;;;;
17;Профессиональное оборудование;Торговое оборудование;Пломбираторы, пломбы;;;;;;;;;
17;Профессиональное оборудование;Торговое оборудование;Счетчики для денег, детекторы валют;;;;;;;;;
17;Профессиональное оборудование;Торговое оборудование;Товары для работы с деньгами;;;;;;;;;
17;Профессиональное оборудование;Торговое оборудование;Упаковочные материалы;;;;;;;;;
17;Профессиональное оборудование;Торговое оборудование;Ящики для денег;;;;;;;;;
17;Профессиональное оборудование;Торговое оборудование;Другое;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Тепловое оборудование;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Хлебопекарное и кондитерское оборудование;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Оборудование для производства пиццы;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Холодильное оборудование;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Барное оборудование;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Технологическое оборудование;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Нейтральное оборудование;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Линии раздачи;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Посудомоечные машины;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Прачечное оборудование;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Весовое и упаковочное оборудование;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Торговое оборудование;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Оборудование Б/У;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Оборудование для автоматизации;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Системы безопасности и видеонаблюдение;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Онлайн-кассы 54-ФЗ;;;;;;;;;
17;Профессиональное оборудование;Мебель для ресторанов и баров;Запчасти;;;;;;;;;
