№ корня;Корень;Наименование;Наименование;;;;;
19;Промышленные товары;Инструмент;Оснастка для инструмента;;;;;
19;Промышленные товары;Инструмент;Ручной инструмент;;;;;
19;Промышленные товары;Инструмент;Электроинструмент;;;;;
19;Промышленные товары;Инструмент;Шлифовальный инструмент;;;;;
19;Промышленные товары;Инструмент;Абразивный инструмент;;;;;
19;Промышленные товары;Инструмент;Сельскохозяйственный и садовый инструмент;;;;;
19;Промышленные товары;Инструмент;Строительный инструмент;;;;;
19;Промышленные товары;Инструмент;Запчасти и комплектующие для инструмента;;;;;
19;Промышленные товары;Инструмент;Металлорежущий инструмент;;;;;
19;Промышленные товары;Инструмент;Бензоинструмент;;;;;
19;Промышленные товары;Инструмент;Дрели;;;;; 
19;Промышленные товары;Инструмент;Пневматический инструмент;;;;;
19;Промышленные товары;Инструмент;Виброинструмент;;;;;
19;Промышленные товары;Инструмент;Измерительный и калибровочный инструмент;;;;;
19;Промышленные товары;Инструмент;Перфораторы;;;;;
19;Промышленные товары;Инструмент;Наборы инструментов;;;;;
19;Промышленные товары;Инструмент;Другой инструмент;;;;;
19;Промышленные товары;Инструмент;Ящики, сумки, кейсы для инструмента;;;;;
19;Промышленные товары;Инструмент;Гидравлический инструмент;;;;;
19;Промышленные товары;Инструмент;Автоинструмент;;;;;
19;Промышленные товары;Мебель;Мебель для дома;;;;;
19;Промышленные товары;Мебель;Коммерческая мебель;;;;;
19;Промышленные товары;Мебель;Корпусная мебель;;;;;
19;Промышленные товары;Мебель;Мебель для ванных;;;;;
19;Промышленные товары;Мебель;Комплектующие для мебели;;;;;
19;Промышленные товары;Мебель;Офисная мебель;;;;;
19;Промышленные товары;Мебель;Мягкая мебель;;;;;
19;Промышленные товары;Мебель;Садовая мебель;;;;;
19;Промышленные товары;Мебель;Плетеная мебель;;;;;
19;Промышленные товары;Мебель;Туристическая мебель;;;;;
19;Промышленные товары;Мебель;Другая мебель;;;;;
19;Промышленные товары;Мебель;Надувная мебель и матрасы;;;;;
19;Промышленные товары;Мебель;Мебель для саун и бань;;;;;
19;Промышленные товары;Мебель;Кованая мебель;;;;;
19;Промышленные товары;Мебель;Антикварная мебель;;;;;
19;Промышленные товары;Мебель;Мебель для пляжей и пансионатов;;;;;
19;Промышленные товары;Металлы, металлопрокат;Металлопрокат;;;;;
19;Промышленные товары;Металлы, металлопрокат;Металлоизделия строительного назначения;;;;;
19;Промышленные товары;Металлы, металлопрокат;Метизы и крепежные изделия;;;;;
19;Промышленные товары;Металлы, металлопрокат;Металлоизделия промышленного назначения;;;;;
19;Промышленные товары;Металлы, металлопрокат;Металлы и сплавы;;;;;
19;Промышленные товары;Металлы, металлопрокат;Металлоконструкции ЛМК;;;;;
19;Промышленные товары;Металлы, металлопрокат;Другие металлы, материалы;;;;;
19;Промышленные товары;Металлы, металлопрокат;Металлолом (лом металла);;;;;
19;Промышленные товары;Металлы, металлопрокат;Металлические порошки;;;;;
19;Промышленные товары;Металлы, металлопрокат;Ковка, литье, штамповка;;;;;
19;Промышленные товары;Оборудование;Инструмент;;;;;
19;Промышленные товары;Оборудование;Промышленное оборудование;;;;;
19;Промышленные товары;Оборудование;Оборудование для оказания услуг;;;;;
19;Промышленные товары;Оборудование;Общие детали и узлы машин и механизмов;;;;;
19;Промышленные товары;Оборудование;Оборудование для производства, станки;;;;;
19;Промышленные товары;Оборудование;Торговое оборудование;;;;;
19;Промышленные товары;Оборудование;Сельхозоборудование;;;;;
19;Промышленные товары;Оборудование;Складское оборудование;;;;;
19;Промышленные товары;Оборудование;Упаковочное, фасовочное оборудование;;;;;
19;Промышленные товары;Оборудование;Маркировочное оборудование;;;;;
19;Промышленные товары;Спорт и отдых;Спортивные товары;;;;;
19;Промышленные товары;Спорт и отдых;Товары для зимних видов спорта;;;;;
19;Промышленные товары;Спорт и отдых;Тренажеры;;;;;
19;Промышленные товары;Спорт и отдых;Товары для рыбалки;;;;;
19;Промышленные товары;Спорт и отдых;Товары для охоты;;;;;
19;Промышленные товары;Спорт и отдых;Товары для туризма и путешествий;;;;;
19;Промышленные товары;Спорт и отдых;Товары для командных видов спорта;;;;;
19;Промышленные товары;Спорт и отдых;Экстремальные виды спорта;;;;;
19;Промышленные товары;Спорт и отдых;Товары для водных видов спорта;;;;;
