№ корня;Корень;Наименование;Наименование;Наименование
20;Тара и Упаковка;Упаковка;Дерево;Пеналы из дерева
20;Тара и Упаковка;Упаковка;Дерево;Поддоны
20;Тара и Упаковка;Упаковка;Дерево;Деревянные ящики
20;Тара и Упаковка;Упаковка;Дерево;Обрешоточная фанера
20;Тара и Упаковка;Упаковка;Дерево;Фанерный ящик
20;Тара и Упаковка;Упаковка;Дерево;Паллетные борта
20;Тара и Упаковка;Упаковка;Дерево;Военные ящики
20;Тара и Упаковка;Упаковка;Картон / Бумага;Почтовые коробки
20;Тара и Упаковка;Упаковка;Картон / Бумага;Крафт пакеты
20;Тара и Упаковка;Упаковка;Картон / Бумага;Упаковочная бумага
20;Тара и Упаковка;Упаковка;Картон / Бумага;Короба из гофрокартона
20;Тара и Упаковка;Упаковка;Картон / Бумага;Гофрокартон листовой
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Пакеты Почта России
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Полиэтиленовые пакеты
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Пакеты-майки
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Фасовочные пакеты
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Пакеты с воздушной подушкой M-Lite
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Воздушно-пузырьковая плёнка
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Расходные материалы
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Пакеты ZIP-LOCK
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Полипропиленовые пакеты (БОПП)
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Полипропиленовая лента
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Мешки и сумки полипропиленовые
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Изделия из полиэтилена
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Одноразовые средства защиты
20;Тара и Упаковка;Упаковка;Пленка / пакеты;Пакеты и мешки для мусора
20;Тара и Упаковка;Упаковка;Полимер;Сопутствующие товары
20;Тара и Упаковка;Упаковка;Полимер;Пломбы и сигнальные 
20;Тара и Упаковка;Упаковка;Текстиль;Почтовые конверты
20;Тара и Упаковка;Упаковка;Текстиль;Курьерские и сейф пакеты
20;Тара и Упаковка;Упаковка;Текстиль;Шпагат
20;Тара и Упаковка;Упаковка;Текстиль;Наборы для переезда
20;Тара и Упаковка;Упаковка;Упаковка по виду продукции;Скотч и клейкая лента
20;Тара и Упаковка;Упаковка;Упаковка по виду продукции;Стрейч-плёнка
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЯЩИКИ;Ящики пластиковые для овощей и фруктов. Серия 100
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЯЩИКИ;Ящики пластиковые для колбасно-мясной и рыбной продукции. Серия 200
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЯЩИКИ;Ящики пластиковые для молочной продукции, транспортировки цыплят и яиц. Серия 300
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЯЩИКИ;Ящики пластиковые для хлебобулочных и других видов производств. Серия 400
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЯЩИКИ;Пластиковые ящики Futura. Серия 600
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЯЩИКИ;Ящики пластиковые универсальные. Серия 700
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЯЩИКИ;Ящики пластиковые промышленного назначения. Серия 800
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЯЩИКИ;Ящики Система KLT
20;Тара и Упаковка;Тара;ПЛАСТИКОВЫЕ ЯЩИКИ;Аксессуары для ящиков. Серия 500
20;Тара и Упаковка;Тара;СКЛАДСКИЕ ЯЩИКИ И СТЕЛЛАЖИ;Система 5000 ITALIA
20;Тара и Упаковка;Тара;СКЛАДСКИЕ ЯЩИКИ И СТЕЛЛАЖИ;Разделители для серии 5000 ITALIA
